,Seed,Region,Team,Opponent,Team Score,Opponent Score,Result,Year,Round,team_game_result,fg_pct,fg3_pct,ft_pct,efg_pct,fga,fg3a,fta,orb,drb,tov,opp_name_abbr,pt_diff
0,1,east,Baylor,Norfolk State,85,49,1,2022,1,4,0.8741212121212122,1.0202285165626503,0.8765541125541126,1.0437446808510642,0.8152816326530611,0.8927364238410597,1.1541738880918226,0.8393761273209551,1.00311906614786,0.7449441975308644,"['Oklahoma State', 'Kansas', 'Texas', 'Iowa State', 'Oklahoma']",0.5718400000000001
1,8,east,North Carolina,Marquette,95,63,1,2022,1,4,0.9716691262135922,0.9925977584059779,1.0090201342281881,0.990642529989095,0.7328670391061455,0.9896810958904111,1.128739267015707,1.0459274611398965,1.0367694822888285,0.9863454545454549,"['NC State', 'Syracuse', 'Duke', 'Virginia', 'Virginia Tech']",1.4563200000000005
2,5,east,Saint Mary's,Indiana,82,53,1,2022,1,4,1.0163818181818185,0.9865574934725849,1.0307793103448277,0.8832183908045977,1.0132532577903686,0.9211259259259261,1.0023873350923485,0.6841077551020409,0.9722066749072932,0.9552946478873239,"['Brigham Young', 'San Diego', 'Gonzaga', 'Santa Clara', 'Gonzaga']",0.5283200000000003
3,4,east,UCLA,Akron,57,53,1,2022,1,4,0.9925481188118814,0.9434748603351958,1.021752888888889,0.7516184798807751,0.956804532577904,1.2462658227848105,1.0673597840755737,1.0676666666666668,0.9325246690734056,0.9751788079470199,"['Washington', 'Southern California', 'Washington State', 'Southern California', 'Arizona']",1.3004800000000003
4,6,east,Texas,Virginia Tech,81,73,1,2022,1,2,0.9529516966067866,1.001179215270414,0.9851319727891159,0.9105010279001472,0.7078593939393939,1.2805200663349923,0.9579731903485256,1.165037419354839,0.9080272851296046,0.9379466666666667,"['TCU', 'West Virginia', 'Baylor', 'Kansas', 'TCU']",0.15456000000000003
5,3,east,Purdue,Yale,78,56,1,2022,1,3,0.8816311504424781,0.9974945558739257,0.8885942857142859,0.9336273170731709,0.8943583333333335,0.9212260000000002,0.8750334739803097,1.1390276243093922,1.0053516666666669,0.9897849056603775,"['Wisconsin', 'Indiana', 'Penn State', 'Michigan State', 'Iowa']",-0.20000000000000004
6,7,east,Murray State,San Francisco,92,87,1,2022,1,5,0.9016915129151293,0.9763159533073932,0.869731092436975,1.0701708387096778,1.0441800569800572,0.905499401197605,1.0999306358381509,0.9636782608695653,1.059570799536501,0.9633395095367847,"['UT Martin', 'Belmont', 'Southeast Missouri State', 'Southeast Missouri State', 'Morehead State']",1.4988800000000002
7,15,east,Saint Peter's,Kentucky,85,79,1,2022,1,5,1.066816666666667,0.920862198391421,1.0755035128805623,0.9834289752650178,0.926162285714286,1.1295861271676302,0.9958847360912985,0.7967894389438945,0.9829722627737227,0.9601790209790213,"['Manhattan', 'Fairfield', 'Fairfield', 'Quinnipiac', 'Monmouth']",3.1123200000000004
8,16,east,Norfolk State,Baylor,49,85,0,2022,1,5,1.0879570881226055,0.9362210645526616,1.084945770065076,0.9859281399046106,1.0199416909620993,0.9576964885496184,0.991585693848355,0.9867884057971017,0.9344543689320389,0.9975504761904762,"['North Carolina Central', 'Howard', 'Delaware State', 'Morgan State', 'Coppin State']",3.9190400000000003
9,9,east,Marquette,North Carolina,63,95,0,2022,1,2,1.0349635316698658,1.0346410443864231,1.0722168888888892,0.8583680000000001,0.9700697674418606,0.8057370517928287,1.0104399460188935,1.0187755102040819,0.8432866995073894,1.2244114285714287,"['Creighton', 'Butler', 'DePaul', ""St. John's (NY)"", 'Creighton']",-0.3836800000000001
